"UTM Content","Площадка","Визиты","Посетители","Отказы","Время на сайте","Роботность","Достижения цели (Автоцель: заполнил контактные данные)","Достижения цели (click_download)","Достижения цели (click_download_header)"
"Итого и средние","","2185","1845","0.4393592677345538","00:01:05","0.003203661327231121","4","0","10"
"K5_welcome-bonus","Не определено","41","32","0.36585365853658536","00:02:26","0.0","2","0","4"
"K1_compare-save","Не определено","3","3","0.33333333333333326","00:00:22","0.0","1","0","2"
"K3_no-activation","ya.ru","1","1","0.0","00:11:54","0.0","1","0","2"
"K1_compare-save","com.oakever.tiletrip","1","1","0.0","00:00:16","0.0","0","0","0"
"K1_compare-save","com.pixel.art.coloring.color.number","1","1","1.0","00:00:00","0.0","0","0","0"
"K1_compare-save","com.sniper.destiny.shooting","1","1","0.0","00:00:18","0.0","0","0","0"
"K1_compare-save","com.vitastudio.mahjong","1","1","0.0","00:00:16","0.0","0","0","0"
"K1_compare-save","dsp-betweenx.yandex.ru","1","1","1.0","00:00:00","0.0","0","0","0"
"K1_compare-save","dsp-opera-exchange.yandex.ru","4","4","0.5","00:00:07","0.0","0","0","0"
"K1_compare-save","dsp-unityads.yandex.ru","1","1","1.0","00:00:00","0.0","0","0","0"
"K1_compare-save","dsp.yandex.ru","6","6","0.33333333333333326","00:00:51","0.0","0","0","0"
"K1_compare-save","litmir.club","1","1","0.0","00:00:15","0.0","0","0","0"
"K2_cashback-on-site","Не определено","40","35","0.375","00:00:14","0.025","0","0","0"
"K2_cashback-on-site","closet.match.pair.matching.games","1","1","1.0","00:00:00","0.0","0","0","0"
"K2_cashback-on-site","com.FartforPrank","1","1","0.0","00:00:19","0.0","0","0","0"
"K2_cashback-on-site","com.UnityUserco.EscapeHauntedHouseOnline","1","1","0.0","00:02:48","0.0","0","0","0"
"K2_cashback-on-site","com.bh.castle.xm","3","2","0.0","00:00:15","0.0","0","0","0"
"K2_cashback-on-site","com.bh.house.xm","1","1","0.0","00:00:15","0.0","0","0","0"
"K2_cashback-on-site","com.bh.kitten.xm","3","2","0.6666666666666665","00:00:04","0.0","0","0","0"
"K2_cashback-on-site","com.blockpuzzle.us.ios","1","1","0.0","00:00:32","0.0","0","0","0"
"K2_cashback-on-site","com.bubbleshooter.popbubbles.shootbubblesgame","1","1","0.0","00:00:24","0.0","0","0","0"
"K2_cashback-on-site","com.craftsman.go","2","2","0.5","00:00:08","0.0","0","0","0"
"K2_cashback-on-site","com.easybrain.casualgamecollection","1","1","1.0","00:00:00","0.0","0","0","0"
"K2_cashback-on-site","com.edadeal.android","2","2","0.5","00:01:09","0.0","0","0","0"
"K2_cashback-on-site","com.europosit.pixelcoloring","2","1","0.0","00:21:14","0.0","0","0","0"
"K2_cashback-on-site","com.flyingwhalegames.carout","2","2","0.5","00:00:33","0.0","0","0","0"
"K2_cashback-on-site","com.fugo.wow","13","12","0.3076923076923077","00:00:57","0.0","0","0","0"
"K2_cashback-on-site","com.fy.robo.xm","1","1","0.0","00:00:15","0.0","0","0","0"
"K2_cashback-on-site","com.fyhk.kingdom.xm","9","8","0.1111111111111111","00:00:13","0.0","0","0","0"
"K2_cashback-on-site","com.fyhk.legends.xm","3","2","0.33333333333333326","00:00:10","0.0","0","0","0"
"K2_cashback-on-site","com.fyhk.story.xm","1","1","0.0","00:00:16","0.0","0","0","0"
"K2_cashback-on-site","com.fyhk.town.xm","1","1","0.0","00:00:16","0.0","0","0","0"
"K2_cashback-on-site","com.gamejt.epictr.mi","2","1","0.5","00:00:07","0.0","0","0","0"
"K2_cashback-on-site","com.gamovation.tileclub","1","1","0.0","00:00:15","0.0","0","0","0"
"K2_cashback-on-site","com.gm.partytime.mi","1","1","0.0","00:00:15","0.0","0","0","0"
"K2_cashback-on-site","com.haokan.pictorial","4","4","0.0","00:01:58","0.0","0","0","0"
"K2_cashback-on-site","com.imo.android.imoim","3","2","0.6666666666666665","00:00:05","0.0","0","0","0"
"K2_cashback-on-site","com.infolink.limeiptv","1","1","0.0","00:00:15","0.0","0","0","0"
"K2_cashback-on-site","com.jc.fallacybrainmaster","1","1","0.0","00:00:15","0.0","0","0","0"
"K2_cashback-on-site","com.jc.trickytimermind","2","2","0.0","00:00:15","0.0","0","0","0"
"K2_cashback-on-site","com.localhostlimited.memeinstants","1","1","0.0","00:14:48","0.0","0","0","0"
"K2_cashback-on-site","com.mgame.bearadventure","14","11","0.07142857142857142","00:00:14","0.0","0","0","0"
"K2_cashback-on-site","com.minis.days.bear","1","1","0.0","00:10:32","0.0","0","0","0"
"K2_cashback-on-site","com.minis.legends.block","1","1","0.0","00:00:14","0.0","0","0","0"
"K2_cashback-on-site","com.minis.school.bricks","4","4","0.0","00:00:15","0.0","0","0","0"
"K2_cashback-on-site","com.miui.player","7","6","0.2857142857142857","00:00:15","0.0","0","0","0"
"K2_cashback-on-site","com.miui.videoplayer","1","1","0.0","00:00:15","0.0","0","0","0"
"K2_cashback-on-site","com.mjgf.medical.xm","4","4","0.0","00:00:15","0.0","0","0","0"
"K2_cashback-on-site","com.mutong.melodylife","2","1","0.5","00:00:07","0.0","0","0","0"
"K2_cashback-on-site","com.oakever.tiletrip","8","7","0.125","00:04:00","0.0","0","0","0"
"K2_cashback-on-site","com.openmygame.games.android.wordpizza","22","17","0.18181818181818182","00:00:44","0.0","0","0","0"
"K2_cashback-on-site","com.openmygame.games.android.wordsearchsea","2","2","0.5","00:00:23","0.0","0","0","0"
"K2_cashback-on-site","com.openmygame.magicwordsearch","14","11","0.35714285714285715","00:00:53","0.0","0","0","0"
"K2_cashback-on-site","com.orangeapps.piratetreasures.2","3","3","0.0","00:00:15","0.0","0","0","0"
"K2_cashback-on-site","com.outfit7.mytalkingangela2","1","1","0.0","00:00:15","0.0","0","0","0"
"K2_cashback-on-site","com.party.fyhk.xm","10","10","0.3","00:00:10","0.0","0","0","0"
"K2_cashback-on-site","com.pixel.art.coloring.color.number","2","2","0.5","00:00:07","0.0","0","0","0"
"K2_cashback-on-site","com.robtopx.geometryjumplite","1","1","1.0","00:00:00","0.0","0","0","0"
"K2_cashback-on-site","com.ru.notifications.vk","1","1","1.0","00:00:00","0.0","0","0","0"
"K2_cashback-on-site","com.soulcompany.bubbleshooter.relaxing","1","1","0.0","00:00:16","0.0","0","0","0"
"K2_cashback-on-site","com.stealthgame.master","2","1","0.5","00:00:08","0.0","0","0","0"
"K2_cashback-on-site","com.tripledot.woodoku","6","4","0.16666666666666663","00:00:38","0.0","0","0","0"
"K2_cashback-on-site","com.tyou.cutiekitty.xm","1","1","0.0","00:00:47","0.0","0","0","0"
"K2_cashback-on-site","com.tzl.campus.xm","1","1","0.0","00:00:14","0.0","0","0","0"
"K2_cashback-on-site","com.tzl.crafts.mi","1","1","1.0","00:00:00","0.0","0","0","0"
"K2_cashback-on-site","com.vesna.solitaire.klondike","1","1","1.0","00:00:00","0.0","0","0","0"
"K2_cashback-on-site","com.vitastudio.mahjong","1","1","1.0","00:00:00","0.0","0","0","0"
"K2_cashback-on-site","com.weapons.guns","1","1","1.0","00:00:00","0.0","0","0","0"
"K2_cashback-on-site","com.xfenglv.game2048","1","1","0.0","00:00:15","0.0","0","0","0"
"K2_cashback-on-site","com.xgfs.busyw.mi","1","1","0.0","00:00:20","0.0","0","0","0"
"K2_cashback-on-site","com.xgfs.freedomt.mi","1","1","1.0","00:00:00","0.0","0","0","0"
"K2_cashback-on-site","com.zm.watersort","1","1","1.0","00:00:00","0.0","0","0","0"
"K2_cashback-on-site","dsp-betweenx.yandex.ru","5","5","0.6","00:00:14","0.0","0","0","0"
"K2_cashback-on-site","dsp-opera-exchange.yandex.ru","27","21","0.48148148148148145","00:00:23","0.0","0","0","0"
"K2_cashback-on-site","dsp-unityads.yandex.ru","4","4","0.75","00:00:04","0.0","0","0","0"
"K2_cashback-on-site","dsp-webeye.yandex.ru","1","1","1.0","00:00:00","0.0","0","0","0"
"K2_cashback-on-site","dsp-yeahmobi.yandex.ru","6","5","1.0","00:00:00","0.0","0","0","0"
"K2_cashback-on-site","dsp.yandex.ru","135","123","0.45185185185185184","00:00:43","0.0","0","0","0"
"K2_cashback-on-site","game.yandex.ru","19","19","0.47368421052631576","00:00:27","0.0","0","0","0"
"K2_cashback-on-site","io.deveem.vpn","1","1","1.0","00:00:00","0.0","0","0","0"
"K2_cashback-on-site","io.voodoo.paper2","1","1","1.0","00:00:00","0.0","0","0","0"
